Week_Start_Date,Year,Month,Day,Avg_Last_3_Revenue,Cumulative_Revenue,Predicted_Revenue
2025-01-06,2025,1,6,504630.2299999999,50157288.25,301159.78072135354
2025-01-13,2025,1,13,504630.2299999999,50157288.25,273059.0536128342
2025-01-20,2025,1,20,504630.2299999999,50157288.25,311669.5691600063
2025-01-27,2025,1,27,504630.2299999999,50157288.25,248670.03308999943
2025-02-03,2025,2,3,504630.2299999999,50157288.25,292567.7491308513
2025-02-10,2025,2,10,504630.2299999999,50157288.25,294464.3876999006
2025-02-17,2025,2,17,504630.2299999999,50157288.25,316166.3361798233
2025-02-24,2025,2,24,504630.2299999999,50157288.25,296590.6827410601
2025-03-03,2025,3,3,504630.2299999999,50157288.25,304195.09989269736
2025-03-10,2025,3,10,504630.2299999999,50157288.25,306091.73846174666
2025-03-17,2025,3,17,504630.2299999999,50157288.25,327793.6869416694
2025-03-24,2025,3,24,504630.2299999999,50157288.25,312004.17748683435
2025-03-31,2025,3,31,504630.2299999999,50157288.25,156247.80438860998
2025-04-07,2025,4,7,504630.2299999999,50157288.25,323521.47203165194
2025-04-14,2025,4,14,504630.2299999999,50157288.25,314073.2914894792
2025-04-21,2025,4,21,504630.2299999999,50157288.25,337294.30826086685
2025-04-28,2025,4,28,504630.2299999999,50157288.25,300591.63869195286
2025-05-05,2025,5,5,504630.2299999999,50157288.25,297105.8495921258
2025-05-12,2025,5,12,504630.2299999999,50157288.25,298139.36098743003
2025-05-19,2025,5,19,504630.2299999999,50157288.25,341713.68232973124
2025-05-26,2025,5,26,504630.2299999999,50157288.25,277737.157060874
2025-06-02,2025,6,2,504630.2299999999,50157288.25,294276.81982996437
2025-06-09,2025,6,9,504630.2299999999,50157288.25,306091.73846174666
2025-06-16,2025,6,16,504630.2299999999,50157288.25,324842.9679324041
2025-06-23,2025,6,23,504630.2299999999,50157288.25,324836.60822665197
2025-06-30,2025,6,30,504630.2299999999,50157288.25,187270.99831227766
2025-07-07,2025,7,7,504630.2299999999,50157288.25,323521.47203165194
2025-07-14,2025,7,14,504630.2299999999,50157288.25,314073.2914894792
2025-07-21,2025,7,21,504630.2299999999,50157288.25,337294.30826086685
2025-07-28,2025,7,28,504630.2299999999,50157288.25,300591.63869195286
2025-08-04,2025,8,4,504630.2299999999,50157288.25,304875.66444251506
2025-08-11,2025,8,11,504630.2299999999,50157288.25,298819.92553724773
2025-08-18,2025,8,18,504630.2299999999,50157288.25,339855.1942543626
2025-08-25,2025,8,25,504630.2299999999,50157288.25,278033.024027771
2025-09-01,2025,9,1,504630.2299999999,50157288.25,302419.25213196344
2025-09-08,2025,9,8,504630.2299999999,50157288.25,324668.02507789206
2025-09-15,2025,9,15,504630.2299999999,50157288.25,312000.24492600234
2025-09-22,2025,9,22,504630.2299999999,50157288.25,326215.7654232816
2025-09-29,2025,9,29,504630.2299999999,50157288.25,286035.76987739775
2025-10-06,2025,10,6,504630.2299999999,50157288.25,330159.7565609448
2025-10-13,2025,10,13,504630.2299999999,50157288.25,278713.7618299115
2025-10-20,2025,10,20,504630.2299999999,50157288.25,319348.1328757131
2025-10-27,2025,10,27,504630.2299999999,50157288.25,260134.74078963432
2025-11-03,2025,11,3,504630.2299999999,50157288.25,284225.0690089141
2025-11-10,2025,11,10,504630.2299999999,50157288.25,286121.7075779634
2025-11-17,2025,11,17,504630.2299999999,50157288.25,312169.90884304274
2025-11-24,2025,11,24,504630.2299999999,50157288.25,294058.0021016807
2025-12-01,2025,12,1,504630.2299999999,50157288.25,281302.6682019401
2025-12-08,2025,12,8,504630.2299999999,50157288.25,303551.4411478687
2025-12-15,2025,12,15,504630.2299999999,50157288.25,290883.66099597904
2025-12-22,2025,12,22,504630.2299999999,50157288.25,307873.0411033526
2025-12-29,2025,12,29,504630.2299999999,50157288.25,272920.01843054587
